pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
French-Northwest,Spanish-Balearic,4.262,10,29,0.205
Bulgarian,Hungarian,6.417,9,21,0.308
Saudi,Hungarian,1.419,10,21,0.138
Chechen,Yemenite-Desert,0.803,9,27,0.102
Spanish-Valencia,Baloch,1.148,11,20,0.123
Bengali,French-Northwest,0.987,9,10,0.166
Lebanese-Muslim,Orcadian,1.153,11,11,0.167
French-North,Karakalpak,1.375,9,10,0.216
Turk-Northeast,Sindhi,0.858,9,14,0.133
Czech,Russia-AJ,3.864,10,39,0.198
Hazara,Ukranian-Central,1.415,11,12,0.174
Lebanese-Christian,Turk-Northeast,1.171,9,9,0.187
Albanian,Ossetian,1.819,9,18,0.17
Kurd,Jew-Bulgarian,1.338,10,26,0.12
Lebanese-Christian,Yemenite-Highlands,1.209,9,29,0.113
Orcadian,Croat,4.44,11,14,0.29
Russian-Northwest,Lezgin,2.518,9,13,0.244
Spanish-North,Yemenite-Northwest,1.058,10,26,0.115
Kumyk,Greek-North,2.014,11,13,0.198
Portuguese,Romania-AJ,2.37,10,23,0.173
French-North,Poland-AJ,2.724,9,57,0.125
Turk-South,Mozabite,1.258,10,21,0.136
Avar,BedouinA,0.969,10,23,0.11
Latvian,Abkhasian,2.063,9,12,0.231
French-Northeast,Tatar-Volga,3.679,10,26,0.208
Moldavian,Hungary-AJ,3.053,11,26,0.187
Gagauz,Jew-Azeri,1.766,9,11,0.239
Karakalpak,Spanish-Central,1.146,10,21,0.124
Uyghur-North,Karelian,1.458,11,17,0.136
Ingush,Tajik,1.654,9,32,0.14
Turk-Central,Tatar-Siberia,1.107,10,21,0.139
Moroccan,Tatar-Siberia,0.386,10,21,0.071
Punjabi,French-Northwest,1.073,9,10,0.167
Romanian,Spanish-Central,2.908,10,21,0.196
general-AJ,mixed-AJ,87.862,7,204,0.577
Jew-Azeri,Bashkir,0.868,11,56,0.068
French-Northwest,Druze,1.119,10,30,0.107
Bulgarian,Mozabite,1.39,9,21,0.142
Chechen,Lithuania-AJ,1.895,9,27,0.15
Saudi,Mozabite,2.082,10,21,0.192
Bengali,Czech,1.164,9,10,0.2
Lebanese-Muslim,Uyghur-North,0.706,11,11,0.135
Spanish-Valencia,Swede,4.174,11,20,0.225
Turk-Northeast,Italian-South,2.035,9,15,0.202
French-North,Turk-Central,1.763,9,10,0.276
Lebanese-Christian,Russian-Northwest,1.045,9,9,0.198
Albanian,Turk-Northwest,3.027,9,18,0.262
Lebanese-Christian,Spanish-Balearic,1.599,9,29,0.129
Czech,Bashkir,4.789,10,56,0.16
Kurd,Hungary-AJ,1.67,10,26,0.134
Russian-Northwest,Kazakh-East,2.008,9,13,0.24
Hazara,Tabasaran,1.153,11,12,0.159
Orcadian,Sicilian-West,2.593,11,14,0.243
Spanish-North,Jew-Bulgarian,2.645,10,26,0.169
Kumyk,German,2.239,11,13,0.203
Portuguese,BedouinA,1.342,10,23,0.139
French-North,Russian-Central,4.389,9,58,0.146
French-Northeast,Yemenite-Desert,0.637,10,27,0.077
Turk-South,Iranian-Central,1.494,10,22,0.153
Latvian,Icelandic,7.383,9,12,0.422
Moldavian,Georgian,1.566,11,26,0.128
Avar,Nogai,1.852,10,25,0.146
Gagauz,Karachay,1.646,9,11,0.212
Karakalpak,Hungarian,2.017,10,21,0.159
Uyghur-North,Gujarati,0.887,11,17,0.114
Turk-Central,Spanish-Central,1.37,10,21,0.141
Ingush,Palestinian,1.424,9,33,0.111
Moroccan,Spanish-Central,2.332,10,21,0.182
Punjabi,Czech,0.999,9,10,0.155
Jew-Azeri,Spanish-Catalonia,1.395,11,57,0.076
Romanian,Hungarian,7.389,10,21,0.352
French-Northwest,Adygei,1.97,10,31,0.133
Jordanian,BedouinB,5.369,11,12,0.374
Bulgarian,Iranian-Central,1.482,9,22,0.153
Chechen,Roman-Iberia,1.756,9,28,0.143
Saudi,Iranian-Central,1.15,10,22,0.123
Bengali,Assyrian-MiddleEast,0.783,9,11,0.165
Turk-Northeast,Tuscan,1.674,9,15,0.184
Spanish-Valencia,Brahui,0.964,11,21,0.109
Lebanese-Muslim,Spanish-Valencia,1.159,11,11,0.16
Lebanese-Christian,Druze,2.258,9,30,0.198
French-North,Moroccan,1.255,9,10,0.207
Albanian,Egyptian,1.377,9,18,0.158
Lebanese-Christian,Latvian,1.391,9,9,0.217
Russian-Northwest,Kazakh-West,2.377,9,13,0.238
Spanish-North,Hungary-AJ,2.715,10,26,0.178
Kurd,Georgian,1.29,10,26,0.119
Orcadian,Udmurt,3.779,11,14,0.261
Hazara,Veps,2.33,11,12,0.239
Kumyk,Somali,0.275,11,13,0.072
Czech,Spanish-Catalonia,4.172,10,57,0.152
Portuguese,Nogai,1.715,10,25,0.153
French-Northeast,Lithuania-AJ,2.765,10,27,0.18
Latvian,Italian-North,4.497,9,12,0.322
Turk-South,Romania-AJ,1.955,10,23,0.15
French-North,mixed-AJ,2.379,9,204,0.064
Moldavian,Germany-AJ,2.443,11,26,0.161
Gagauz,Jordanian,1.267,9,11,0.186
Uyghur-North,Pashtun,1.069,11,17,0.123
Avar,Kyrgyz-North,1.266,10,25,0.126
Karakalpak,Mozabite,0.564,10,21,0.097
Turk-Central,Hungarian,1.813,10,21,0.153
Ingush,Mordvin,2.417,9,34,0.137
Moroccan,Hungarian,1.447,10,21,0.134
Punjabi,Assyrian-MiddleEast,0.543,9,11,0.121
Jew-Azeri,Poland-AJ,2.289,11,57,0.122
Romanian,Mozabite,1.232,10,21,0.151
French-Northwest,Tajik,1.949,10,32,0.132
Chechen,Yemenite-Highlands,0.951,9,29,0.096
Jordanian,Jew-Uzbek,1.238,11,12,0.175
Bulgarian,Romania-AJ,3.109,9,23,0.206
Saudi,Romania-AJ,2.43,10,23,0.17
Bengali,Lebanese-Muslim,0.324,9,11,0.091
Turk-Northeast,Slovenian,1.659,9,15,0.18
Lebanese-Christian,Adygei,1.31,9,31,0.119
Lebanese-Muslim,Moldavian,1.349,11,11,0.174
Spanish-Valencia,Uzbek-East,1.122,11,21,0.119
French-North,Romanian,3.405,9,10,0.312
Lebanese-Christian,Gagauz,1.36,9,9,0.232
Albanian,Komi,3.545,9,18,0.27
Spanish-North,Georgian,1.41,10,26,0.129
Russian-Northwest,Lithuanian,19.333,9,13,0.638
Kurd,Germany-AJ,1.655,10,26,0.135
Orcadian,Belarus-AJ,3.088,11,14,0.25
Kumyk,Czechia-AJ,1.964,11,13,0.203
Hazara,Norwegian,1.49,11,12,0.184
Czech,Poland-AJ,4.511,10,57,0.176
Portuguese,Kyrgyz-North,0.843,10,25,0.089
French-Northeast,Roman-Iberia,2.351,10,28,0.167
Latvian,Circassian,3.715,9,12,0.333
Ingush,Chechen,33.066,9,9,1.616
Avar,Yemenite-Northwest,0.821,10,26,0.099
Turk-South,BedouinA,1.455,10,23,0.131
Gagauz,Finn,5.272,9,11,0.4
Moldavian,Tatar-Volga,4.98,11,26,0.219
Karakalpak,Iranian-Central,0.841,10,22,0.114
Uyghur-North,Chuvash,2.176,11,18,0.182
Turk-Central,Mozabite,0.639,10,21,0.095
Ingush,Ukraine-AJ,2.393,9,38,0.145
Punjabi,Lebanese-Muslim,0.457,9,11,0.118
Moroccan,Mozabite,15.675,10,21,0.554
French-Northwest,Palestinian,1.186,10,33,0.103
Romanian,Iranian-Central,1.312,10,22,0.129
Jew-Azeri,Russian-Central,1.414,11,58,0.074
Chechen,Spanish-Balearic,2.269,9,29,0.162
Jordanian,Greek-North,1.329,11,13,0.166
Bulgarian,BedouinA,1.405,9,23,0.166
Saudi,BedouinA,7.203,10,23,0.431
Turk-Northeast,Slovakian,2.071,9,15,0.187
Bengali,Hazara,1.097,9,11,0.17
Lebanese-Christian,Tajik,0.99,9,32,0.094
Lebanese-Muslim,Jew-Azeri,1.122,11,11,0.156
Lebanese-Christian,Bengali,0.503,9,9,0.126
Spanish-Valencia,Tatar-Siberia,1.32,11,21,0.124
French-North,Saudi,1.04,9,10,0.171
Albanian,Azeri,1.39,9,18,0.147
Spanish-North,Germany-AJ,2.689,10,26,0.159
Russian-Northwest,Balkar,3.242,9,13,0.282
Kurd,Tatar-Volga,1.233,10,26,0.115
Orcadian,Sindhi,1.599,11,14,0.165
Kumyk,Lezgin,3.791,11,13,0.284
Hazara,Abkhasian,0.951,11,12,0.147
Portuguese,Yemenite-Northwest,0.995,10,26,0.106
French-Northeast,Yemenite-Highlands,0.598,10,29,0.075
Latvian,Iranian-North,1.776,9,12,0.221
Ingush,Kurd,1.325,9,10,0.211
Gagauz,Jew-Italian,1.965,9,11,0.265
Avar,Jew-Bulgarian,1.514,10,26,0.128
Moldavian,Yemenite-Desert,0.953,11,27,0.096
Karakalpak,Romania-AJ,1.36,10,23,0.133
Turk-South,Nogai,1.459,10,25,0.14
Czech,Russian-Central,10.7,10,58,0.239
Uyghur-North,Ossetian,1.033,11,18,0.118
Turk-Central,Iranian-Central,1.179,10,22,0.126
Punjabi,Hazara,1.001,9,11,0.159
Ingush,Russia-AJ,2.158,9,39,0.136
Moroccan,Iranian-Central,0.8,10,22,0.103
Jordanian,German,1.119,11,13,0.149
Chechen,Druze,1.396,9,30,0.126
Romanian,Romania-AJ,3.184,10,23,0.199
French-Northwest,Mordvin,4.22,10,34,0.186
Jew-Azeri,mixed-AJ,2.35,11,204,0.059
Bulgarian,Nogai,2.514,9,25,0.175
Turk-Northeast,Corsican,1.462,9,16,0.174
Bengali,Kumyk,0.699,9,11,0.14
Saudi,Nogai,0.962,10,25,0.113
Lebanese-Christian,Palestinian,2.096,9,33,0.21
Lebanese-Christian,French-North,1.054,9,9,0.182
French-North,Portuguese,3.738,9,10,0.335
Lebanese-Muslim,Karachay,1.332,11,11,0.203
Albanian,Armenian,1.832,9,18,0.183
Spanish-Valencia,Spanish-Central,6.64,11,21,0.29
Russian-Northwest,Kabardian,3.497,9,13,0.297
Kurd,Yemenite-Desert,1.061,10,27,0.119
Spanish-North,Tatar-Volga,3.242,10,26,0.196
Kumyk,Kazakh-East,1.036,11,13,0.164
Orcadian,Italian-South,2.724,11,15,0.221
Hazara,Icelandic,1.665,11,12,0.182
Portuguese,Jew-Bulgarian,2.646,10,26,0.185
French-Northeast,Spanish-Balearic,3.372,10,29,0.193
Latvian,BedouinB,1.124,9,12,0.157
Ingush,Avar,4.993,9,10,0.385
Gagauz,Italian-Northwest,2.848,9,11,0.304
Avar,Hungary-AJ,1.712,10,26,0.146
Moldavian,Lithuania-AJ,2.947,11,27,0.183
Karakalpak,BedouinA,0.584,10,23,0.082
Turk-South,Kyrgyz-North,1.148,10,25,0.131
Uyghur-North,Turk-Northwest,1.344,11,18,0.143
Punjabi,Kumyk,0.671,9,11,0.133
Turk-Central,Romania-AJ,1.361,10,23,0.129
Jordanian,Somali,0.496,11,13,0.099
Ingush,Bashkir,1.893,9,56,0.102
Moroccan,Romania-AJ,2.278,10,23,0.175
Chechen,Adygei,3.191,9,31,0.182
Romanian,BedouinA,1.167,10,23,0.12
French-Northwest,Ukraine-AJ,2.813,10,38,0.157
Czech,mixed-AJ,4.061,10,204,0.084
Turk-Northeast,Greek-South,1.53,9,16,0.177
Karachay,Jordanian,1.01,11,11,0.151
Bengali,Orcadian,0.857,9,11,0.157
Bulgarian,Kyrgyz-North,1.21,9,25,0.113
Lebanese-Christian,Mordvin,1.225,9,34,0.101
Saudi,Kyrgyz-North,0.527,10,25,0.08
French-North,Spanish-North,3.906,9,10,0.345
Lebanese-Christian,Ingush,1.381,9,9,0.236
Lebanese-Muslim,Jordanian,1.314,11,11,0.164
Albanian,Pole,5.134,9,19,0.288
Kurd,Lithuania-AJ,1.654,10,27,0.142
Spanish-North,Yemenite-Desert,1.084,10,27,0.106
Spanish-Valencia,Hungarian,3.454,11,21,0.22
Kumyk,Kazakh-West,1.482,11,13,0.194
Russian-Northwest,Belarusian,17.047,9,14,0.648
Orcadian,Tuscan,3.581,11,15,0.222
French-Northeast,Druze,1.018,10,30,0.093
Portuguese,Hungary-AJ,2.637,10,26,0.175
Hazara,Italian-North,1.106,11,12,0.15
Ingush,Turk-South,1.829,9,10,0.206
Latvian,Jew-Uzbek,1.695,9,12,0.23
Avar,Georgian,1.959,10,26,0.141
Gagauz,Ukranian-Central,6.59,9,12,0.465
Moldavian,Roman-Iberia,2.99,11,28,0.18
Karakalpak,Nogai,3.343,10,25,0.184
Turk-South,Yemenite-Northwest,1.561,10,26,0.137
Uyghur-North,Egyptian,0.518,11,18,0.081
Punjabi,Orcadian,1.092,9,11,0.198
Jordanian,Czechia-AJ,1.945,11,13,0.198
Ingush,Spanish-Catalonia,2.015,9,57,0.105
Turk-Central,BedouinA,1.171,10,23,0.143
Chechen,Tajik,1.807,9,32,0.131
Moroccan,BedouinA,2.626,10,23,0.179
Assyrian-MiddleEast,Lebanese-Muslim,0.881,11,11,0.145
Romanian,Nogai,2.628,10,25,0.17
French-Northwest,Russia-AJ,2.413,10,39,0.154
Turk-Northeast,Estonian,1.469,9,16,0.173
Karachay,Finn,2.838,11,11,0.309
Bengali,Uyghur-North,0.792,9,11,0.154
Bulgarian,Yemenite-Northwest,1.072,9,26,0.122
Lebanese-Christian,Ukraine-AJ,1.842,9,38,0.125
Lebanese-Christian,Chechen,1.51,9,9,0.233
Lebanese-Muslim,Finn,1.568,11,11,0.19
Saudi,Yemenite-Northwest,6.585,10,26,0.367
French-North,French-Northeast,4.557,9,10,0.377
Albanian,Sardinian,2.421,9,20,0.189
Kurd,Roman-Iberia,1.269,10,28,0.113
Spanish-North,Lithuania-AJ,2.631,10,27,0.169
Russian-Northwest,Basque-France,3.216,9,14,0.296
Orcadian,Slovenian,4.985,11,15,0.294
Kumyk,Lithuanian,3.265,11,13,0.268
Spanish-Valencia,Mozabite,2.156,11,21,0.155
Portuguese,Georgian,1.312,10,26,0.118
French-Northeast,Adygei,1.806,10,31,0.121
Ingush,Karakalpak,1.38,9,10,0.224
Latvian,Greek-North,6.743,9,13,0.441
Hazara,Circassian,1.53,11,12,0.201
Avar,Germany-AJ,1.812,10,26,0.139
Gagauz,Tabasaran,2.1,9,12,0.228
Moldavian,Yemenite-Highlands,1.081,11,29,0.101
Jordanian,Lezgin,1.077,11,13,0.147
Turk-South,Jew-Bulgarian,1.624,10,26,0.136
Punjabi,Uyghur-North,0.805,9,11,0.13
Ingush,Poland-AJ,2.12,9,57,0.115
Uyghur-North,Komi,2.072,11,18,0.17
Karakalpak,Kyrgyz-North,4.265,10,25,0.233
Chechen,Palestinian,1.331,9,33,0.112
Moroccan,Nogai,0.809,10,25,0.097
Turk-Central,Nogai,1.339,10,25,0.127
Assyrian-MiddleEast,Hazara,0.899,11,11,0.158
Turk-Northeast,Russian-Arctic,1.539,9,17,0.155
Romanian,Kyrgyz-North,1.347,10,25,0.129
French-Northwest,Bashkir,2.735,10,56,0.121
Bengali,Spanish-Valencia,0.605,9,11,0.133
Bulgarian,Jew-Bulgarian,2.507,9,26,0.178
Karachay,Jew-Italian,1.432,11,11,0.198
Lebanese-Christian,Russia-AJ,1.687,9,39,0.118
Lebanese-Christian,Kurd,1.082,9,10,0.179
Saudi,Jew-Bulgarian,2.235,10,26,0.155
Lebanese-Muslim,Jew-Italian,1.546,11,11,0.185
French-North,French-Northwest,4.796,9,10,0.345
Albanian,Baloch,1.569,9,20,0.16
Kurd,Yemenite-Highlands,1.014,10,29,0.099
Russian-Northwest,Croat,9.722,9,14,0.46
Spanish-North,Roman-Iberia,4.152,10,28,0.253
Orcadian,Slovakian,5.69,11,15,0.33
Kumyk,Balkar,4.332,11,13,0.362
Spanish-Valencia,Iranian-Central,1.062,11,22,0.112
Portuguese,Germany-AJ,2.623,10,26,0.169
French-Northeast,Tajik,1.992,10,32,0.137
Ingush,Turk-Central,1.575,9,10,0.237
Latvian,German,11.619,9,13,0.703
Hazara,Iranian-North,1.029,11,12,0.156
Avar,Tatar-Volga,2.157,10,26,0.156
Gagauz,Veps,6.195,9,12,0.458
Moldavian,Spanish-Balearic,2.828,11,29,0.163
Jordanian,Kazakh-East,0.562,11,13,0.112
Turk-South,Hungary-AJ,1.764,10,26,0.137
Punjabi,Spanish-Valencia,0.581,9,11,0.118
Ingush,Russian-Central,2.412,9,58,0.116
Chechen,Mordvin,2.162,9,34,0.146
Karakalpak,Yemenite-Northwest,0.479,10,26,0.073
Uyghur-North,Azeri,1.217,11,18,0.152
Turk-Northeast,Karelian,1.265,9,17,0.136
Turk-Central,Kyrgyz-North,1.05,10,25,0.123
Moroccan,Kyrgyz-North,0.399,10,25,0.067
Assyrian-MiddleEast,Kumyk,1.396,11,11,0.173
Romanian,Yemenite-Northwest,0.827,10,26,0.091
Bengali,Moldavian,0.861,9,11,0.183
Bulgarian,Hungary-AJ,3.112,9,26,0.208
Lebanese-Christian,Avar,1.265,9,10,0.213
Lebanese-Christian,Bashkir,0.791,9,56,0.064
Saudi,Hungary-AJ,1.945,10,26,0.143
French-Northwest,Spanish-Catalonia,4.663,10,57,0.16
Karachay,Italian-Northwest,1.599,11,11,0.201
Lebanese-Muslim,Italian-Northwest,1.555,11,11,0.216
French-North,Czech,4.408,9,10,0.387
Albanian,Swede,3.428,9,20,0.215
Russian-Northwest,Sicilian-West,2.362,9,14,0.217
Kurd,Spanish-Balearic,1.69,10,29,0.135
Kumyk,Kabardian,4.709,11,13,0.394
Spanish-North,Yemenite-Highlands,0.91,10,29,0.111
Orcadian,Corsican,4.146,11,16,0.314
Portuguese,Tatar-Volga,2.726,10,26,0.171
Spanish-Valencia,Romania-AJ,2.984,11,23,0.185
Ingush,Moroccan,1.304,9,10,0.222
Latvian,Somali,0.126,9,13,0.057
French-Northeast,Palestinian,1.177,10,33,0.097
Hazara,BedouinB,0.544,11,12,0.12
Avar,Yemenite-Desert,0.723,10,27,0.086
Gagauz,Norwegian,4.064,9,12,0.316
Jordanian,Kazakh-West,0.425,11,13,0.101
Turk-South,Georgian,1.314,10,26,0.126
Moldavian,Druze,1.472,11,30,0.132
Karakalpak,Jew-Bulgarian,0.928,10,26,0.1
Punjabi,Moldavian,0.595,9,11,0.128
Chechen,Ukraine-AJ,2.026,9,38,0.138
Ingush,mixed-AJ,2.109,9,204,0.056
Uyghur-North,Armenian,0.854,11,18,0.105
Turk-Central,Yemenite-Northwest,0.893,10,26,0.099
Turk-Northeast,Gujarati,0.841,9,17,0.15
Moroccan,Yemenite-Northwest,1.737,10,26,0.135
Romanian,Jew-Bulgarian,2.376,10,26,0.167
Assyrian-MiddleEast,Orcadian,1.03,11,11,0.162
Bengali,Jew-Azeri,0.756,9,11,0.183
Bulgarian,Georgian,1.715,9,26,0.142
Lebanese-Christian,Spanish-Catalonia,1.451,9,57,0.093
Lebanese-Christian,Turk-South,1.63,9,10,0.217
Saudi,Georgian,1.152,10,26,0.112
Karachay,Ukranian-Central,2.275,11,12,0.222
French-Northwest,Poland-AJ,2.777,10,57,0.131
Lebanese-Muslim,Ukranian-Central,1.211,11,12,0.165
Albanian,Brahui,1.247,9,21,0.132
French-North,Assyrian-MiddleEast,1.031,9,11,0.18
Russian-Northwest,Udmurt,5.813,9,14,0.367
Kurd,Druze,1.365,10,30,0.12
Kumyk,Belarusian,2.928,11,14,0.216
Orcadian,Greek-South,2.351,11,16,0.187
Spanish-North,Spanish-Balearic,5.913,10,29,0.251
Portuguese,Yemenite-Desert,0.773,10,27,0.09
Latvian,Czechia-AJ,4.355,9,13,0.364
Ingush,Romanian,2.556,9,10,0.34
Spanish-Valencia,BedouinA,1.061,11,23,0.122
French-Northeast,Mordvin,4.182,10,34,0.182
Avar,Lithuania-AJ,1.677,10,27,0.126
Hazara,Jew-Uzbek,1.225,11,12,0.168
Gagauz,Abkhasian,1.873,9,12,0.279
Jordanian,Lithuanian,1.395,11,13,0.163
Turk-South,Germany-AJ,2.262,10,26,0.151
Karakalpak,Hungary-AJ,1.176,10,26,0.12
Punjabi,Jew-Azeri,0.322,9,11,0.093
Moldavian,Adygei,2.589,11,31,0.169
Chechen,Russia-AJ,2.114,9,39,0.142
Chechen,Kurd,1.432,9,10,0.216
Turk-Northeast,Pashtun,1.147,9,17,0.146
Uyghur-North,Pole,1.659,11,19,0.146
Turk-Central,Jew-Bulgarian,1.718,10,26,0.152
Moroccan,Jew-Bulgarian,2.242,10,26,0.16
Romanian,Hungary-AJ,3.089,10,26,0.197
Bengali,Karachay,0.717,9,11,0.142
Bulgarian,Germany-AJ,2.981,9,26,0.182
Assyrian-MiddleEast,Uyghur-North,0.798,11,11,0.139
Lebanese-Christian,Karakalpak,0.653,9,10,0.134
Lebanese-Christian,Poland-AJ,1.771,9,57,0.098
Saudi,Germany-AJ,1.938,10,26,0.151
French-North,Lebanese-Muslim,1.222,9,11,0.2
Karachay,Tabasaran,1.796,11,12,0.192
Russian-Northwest,Belarus-AJ,4.176,9,14,0.328
Albanian,Uzbek-East,1.426,9,21,0.136
Lebanese-Muslim,Tabasaran,0.887,11,12,0.14
Kumyk,Basque-France,1.967,11,14,0.183
French-Northwest,Russian-Central,4.768,10,58,0.157
Kurd,Adygei,1.248,10,31,0.111
Spanish-North,Druze,1.474,10,30,0.121
Portuguese,Lithuania-AJ,2.479,10,27,0.156
Orcadian,Estonian,7.097,11,16,0.326
Latvian,Lezgin,2.796,9,13,0.26
Ingush,Saudi,1.79,9,10,0.236
French-Northeast,Ukraine-AJ,2.689,10,38,0.148
Spanish-Valencia,Nogai,1.616,11,25,0.129
Avar,Roman-Iberia,1.645,10,28,0.136
Hazara,Greek-North,1.115,11,13,0.154
Karakalpak,Georgian,0.873,10,26,0.097
Jordanian,Balkar,1.128,11,13,0.156
Turk-South,Tatar-Volga,2.228,10,26,0.153
Gagauz,Icelandic,4.258,9,12,0.358
Punjabi,Karachay,0.602,9,11,0.134
Moldavian,Tajik,1.992,11,32,0.129
Chechen,Avar,9.589,9,10,0.698
Chechen,Bashkir,1.985,9,56,0.108
Turk-Northeast,Chuvash,1.114,9,18,0.134
Uyghur-North,Sardinian,0.709,11,20,0.099
Moroccan,Hungary-AJ,2.467,10,26,0.189
Turk-Central,Hungary-AJ,1.656,10,26,0.126
Romanian,Georgian,1.364,10,26,0.137
Bengali,Jordanian,0.516,9,11,0.116
Bulgarian,Tatar-Volga,4.947,9,26,0.239
Lebanese-Christian,Russian-Central,1.085,9,58,0.074
Assyrian-MiddleEast,Spanish-Valencia,1.284,11,11,0.177
Lebanese-Christian,Turk-Central,0.917,9,10,0.17
Saudi,Tatar-Volga,1.606,10,26,0.137
Russian-Northwest,Sindhi,1.31,9,14,0.181
French-North,Hazara,1.08,9,11,0.19
Albanian,Tatar-Siberia,1.685,9,21,0.165
Karachay,Veps,3.424,11,12,0.26
Kumyk,Croat,2.734,11,14,0.25
Lebanese-Muslim,Veps,1.275,11,12,0.172
Kurd,Tajik,1.372,10,32,0.134
Spanish-North,Adygei,2.075,10,31,0.141
Orcadian,Russian-Arctic,5.786,11,17,0.297
Portuguese,Roman-Iberia,2.296,10,28,0.165
Latvian,Kazakh-East,2.399,9,13,0.249
French-Northwest,mixed-AJ,2.698,10,204,0.065
Ingush,Portuguese,1.861,9,10,0.254
French-Northeast,Russia-AJ,2.435,10,39,0.136
Avar,Yemenite-Highlands,0.688,10,29,0.076
Spanish-Valencia,Kyrgyz-North,0.828,11,25,0.095
Karakalpak,Germany-AJ,1.217,10,26,0.116
Hazara,German,1.332,11,13,0.175
Jordanian,Kabardian,1.127,11,13,0.151
Turk-South,Yemenite-Desert,1.423,10,27,0.121
Punjabi,Jordanian,0.418,9,11,0.115
Moldavian,Palestinian,1.497,11,33,0.106
Gagauz,Italian-North,3.131,9,12,0.246
Chechen,Turk-South,1.927,9,10,0.251
Turk-Northeast,Ossetian,1.998,9,18,0.175
Chechen,Spanish-Catalonia,1.999,9,57,0.103
Uyghur-North,Baloch,0.925,11,20,0.113
Turk-Central,Georgian,1.662,10,26,0.142
Moroccan,Georgian,0.588,10,26,0.082
Romanian,Germany-AJ,2.345,10,26,0.17
Bulgarian,Yemenite-Desert,0.977,9,27,0.111
Bengali,Finn,0.751,9,11,0.166
Assyrian-MiddleEast,Moldavian,1.456,11,11,0.207
Lebanese-Christian,Moroccan,1.317,9,10,0.193
Russian-Northwest,Italian-South,3.11,9,15,0.256
Saudi,Yemenite-Desert,6.134,10,27,0.324
Lebanese-Christian,mixed-AJ,1.641,9,204,0.05
French-North,Kumyk,2.338,9,11,0.265
Albanian,Spanish-Central,2.332,9,21,0.172
Karachay,Norwegian,2.289,11,12,0.244
Kumyk,Sicilian-West,1.484,11,14,0.176
Lebanese-Muslim,Norwegian,0.917,11,12,0.14
Kurd,Palestinian,1.132,10,33,0.097
Portuguese,Yemenite-Highlands,0.687,10,29,0.087
Latvian,Kazakh-West,2.595,9,13,0.269
Spanish-North,Tajik,1.839,10,32,0.138
Orcadian,Karelian,6.193,11,17,0.303
Ingush,Spanish-North,2.095,9,10,0.261
Czech,Assyrian-MiddleEast,1.624,10,11,0.207
French-Northeast,Bashkir,2.721,10,56,0.118
Avar,Spanish-Balearic,1.925,10,29,0.137
Spanish-Valencia,Yemenite-Northwest,0.936,11,26,0.107
Hazara,Somali,0.126,11,13,0.051
Jordanian,Belarusian,1.399,11,14,0.153
Punjabi,Finn,0.942,9,11,0.157
Turk-South,Lithuania-AJ,2.352,10,27,0.158
Karakalpak,Tatar-Volga,2.941,10,26,0.183
Chechen,Karakalpak,1.511,9,10,0.225
Gagauz,Circassian,2.101,9,12,0.2
Turk-Northeast,Turk-Northwest,2.011,9,18,0.189
Chechen,Poland-AJ,2.087,9,57,0.107
Turk-Central,Germany-AJ,1.528,10,26,0.125
Moldavian,Mordvin,7.216,11,34,0.237
Moroccan,Germany-AJ,2.302,10,26,0.166
Uyghur-North,Swede,1.42,11,20,0.131
Romanian,Tatar-Volga,5.143,10,26,0.258
Bengali,Jew-Italian,0.694,9,11,0.159
Bulgarian,Lithuania-AJ,2.697,9,27,0.174
Assyrian-MiddleEast,Jew-Azeri,1.292,11,11,0.149
Lebanese-Christian,Romanian,1.131,9,10,0.177
Russian-Northwest,Tuscan,3.214,9,15,0.285
Bulgarian,Albanian,6.844,9,9,0.594
Saudi,Lithuania-AJ,1.936,10,27,0.139
Albanian,Hungarian,4.719,9,21,0.284
French-North,Orcadian,5.487,9,11,0.374
Kumyk,Udmurt,2.666,11,14,0.244
Portuguese,Spanish-Balearic,3.687,10,29,0.212
Lebanese-Muslim,Abkhasian,1.226,11,12,0.172
Kurd,Mordvin,1.669,10,34,0.119
Latvian,Lithuanian,27.735,9,13,0.8
Karachay,Abkhasian,10.111,11,12,0.594
Orcadian,Gujarati,1.106,11,17,0.129
Spanish-North,Palestinian,1.484,10,33,0.116
Ingush,French-Northeast,1.439,9,10,0.222
Czech,Lebanese-Muslim,1.677,10,11,0.2
Hazara,Czechia-AJ,1.086,11,13,0.148
Avar,Druze,0.93,10,30,0.092
Karakalpak,Yemenite-Desert,0.541,10,27,0.075
French-Northeast,Spanish-Catalonia,4.076,10,57,0.151
Punjabi,Jew-Italian,0.488,9,11,0.125
Turk-South,Roman-Iberia,1.449,10,28,0.108
Jordanian,Basque-France,1.272,11,14,0.16
Spanish-Valencia,Jew-Bulgarian,2.56,11,26,0.167
Turk-Northeast,Egyptian,1.005,9,18,0.138
Chechen,Turk-Central,2.258,9,10,0.283
Gagauz,Iranian-North,1.495,9,12,0.202
Moroccan,Tatar-Volga,1.163,10,26,0.112
Turk-Central,Tatar-Volga,1.662,10,26,0.135
Chechen,Russian-Central,2.469,9,58,0.113
Moldavian,Ukraine-AJ,3.335,11,38,0.155
Romanian,Yemenite-Desert,0.801,10,27,0.093
Bengali,Italian-Northwest,0.664,9,11,0.15
Uyghur-North,Brahui,1.025,11,21,0.122
