pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
Kyrgyz-South,Tajik,2.089,6,32,0.199
Libyan,Bulgarian,2.083,5,9,0.334
Jew-Cochin,Czechia-AJ,2.43,5,13,0.409
Jew-Iberian,Basque-Spain,4.146,3,6,0.721
Eritrean,Cossack,0.509,3,4,0.509
Austria-AJ,Syrian,1.601,3,8,0.528
Scot,Moldavian,3.689,4,11,0.435
Algerian,Jew-Moroccan,1.605,4,6,0.39
Kryashen,Moldavian,4.257,3,11,0.72
French-Southwest,Pashtun,0.99,6,17,0.166
Sicilian-East,Belarus-AJ,2.621,6,14,0.305
Kyrgyz-South,Bengali,0.671,6,9,0.182
Shaigi,Greek-North,1.655,3,13,0.361
Jew-Iraqi,Romanian,1.202,6,10,0.241
Austria-AJ,Nogai,1.379,3,25,0.253
French-Southwest,Jew-Moroccan,2.622,6,6,0.433
Spanish-Northwest,Roman-Iberia,2.649,5,28,0.232
English-Southwest,Lezgin,2.341,5,13,0.317
Cossack,Turk-West,2.507,4,8,0.582
French-Southeast,Lebanese-Christian,1.127,5,9,0.278
Jew-Iberian,Estonian,2.006,3,16,0.343
Mansi,Balkar,2.104,5,13,0.312
Eritrean,Basque-France,0.504,3,14,0.202
Netherlands-AJ,Saudi,1.402,4,10,0.253
Spanish-Northwest,Albanian,3.273,5,9,0.466
Brahmin,Palestinian,0.863,3,33,0.152
Algerian,Chuvash,1.057,4,18,0.207
English-Southeast,French-North,6.897,5,9,0.67
English-Southeast,Palestinian,1.648,5,33,0.155
Basque-Spain,Balkar,2.323,6,13,0.271
Cossack,Mozabite,1.135,4,21,0.219
Brahmin,French-North,1.758,3,9,0.496
French-Southeast,Yemenite-Desert,0.855,5,27,0.128
Libyan,Roman-Iberia,0.876,5,28,0.137
Afar,Sindhi,0.21,5,14,0.11
Kyrgyz-South,Palestinian,0.601,6,33,0.092
Eritrean,Scot,0.853,3,4,0.446
Algerian,Jew-French,2.147,4,7,0.456
Jew-Cochin,Lezgin,1.117,5,13,0.228
Jew-Iberian,Kyrgyz-South,0.579,3,6,0.276
Libyan,Albanian,1.757,5,9,0.34
Scot,Jew-Azeri,1.423,4,11,0.299
Austria-AJ,Jew-Libyan,4.183,3,8,0.882
Kryashen,Jew-Azeri,1.266,3,11,0.377
Sicilian-East,Sindhi,0.974,6,14,0.193
Netherlands-AJ,mixed-AJ,83.494,4,204,1.167
French-Southwest,Chuvash,2.291,6,18,0.215
Shaigi,German,1.42,3,13,0.299
Kyrgyz-South,French-North,1.199,6,9,0.209
Jew-Iraqi,Saudi,1.659,6,10,0.258
French-Southwest,Jew-French,2.242,6,7,0.386
Austria-AJ,Kyrgyz-North,0.489,3,25,0.135
Spanish-Northwest,Yemenite-Highlands,0.788,5,29,0.128
Cossack,Maltese,2.001,4,8,0.328
English-Southwest,Kazakh-East,1.223,5,13,0.238
Eritrean,Croat,0.533,3,14,0.19
Mansi,Kabardian,2.275,5,13,0.309
Jew-Iberian,Russian-Arctic,2.312,3,17,0.394
Netherlands-AJ,Portuguese,3.96,4,10,0.603
French-Southeast,Bulgarian,2.77,5,9,0.398
Algerian,Ossetian,0.971,4,18,0.203
Spanish-Northwest,Turk-Northeast,1.239,5,9,0.293
Brahmin,Mordvin,1.809,3,34,0.222
Afar,Italian-South,0.438,5,15,0.114
Cossack,Iranian-Central,1.253,4,22,0.186
English-Southeast,Mordvin,5.057,5,34,0.29
Brahmin,Ingush,1.391,3,9,0.449
Algerian,Jew-Ethiopian,0.435,4,7,0.21
English-Southeast,Ingush,2.974,5,9,0.403
Libyan,Yemenite-Highlands,3.085,5,29,0.263
Basque-Spain,Kabardian,1.574,6,13,0.238
French-Southeast,Lithuania-AJ,3.195,5,27,0.278
Jew-Cochin,Kazakh-East,1.13,5,13,0.203
Kyrgyz-South,Mordvin,2.115,6,34,0.183
Eritrean,Algerian,0.237,3,4,0.237
Libyan,Turk-Northeast,1.285,5,9,0.29
Jew-Iberian,Sicilian-East,1.627,3,6,0.583
Scot,Karachay,2.879,4,11,0.689
Austria-AJ,Spanish-South,2.577,3,8,0.56
Sicilian-East,Italian-South,2.281,6,15,0.28
Afar,English-Southeast,0.474,5,5,0.223
Shaigi,Somali,0.085,3,13,0.085
